"Probe"	"gennames"	"biotype_gene"
"11715179_s_at"	"KRTAP19-1"	"protein_coding"
"11715181_x_at"	NA	NA
"11715182_x_at"	NA	NA
"11715183_s_at"	"ZNF391"	"protein_coding"
"11715184_x_at"	"RPL38"	"protein_coding"
"11715185_x_at"	"PRB1"	"protein_coding"
"11715186_x_at"	"PRB1"	"protein_coding"
"11715187_x_at"	"PRB1"	"protein_coding"
"11715188_at"	"H3F3C"	"protein_coding"
"11715190_s_at"	"FAM221A"	"protein_coding"
"11715191_s_at"	"FAM221A"	"protein_coding"
"11715192_s_at"	"FAM221A"	"protein_coding"
"11715193_s_at"	"UNCX"	"protein_coding"
"11715194_s_at"	"ZNF835"	"protein_coding"
"11715195_at"	"IMPACT"	"protein_coding"
"11715196_s_at"	"TMEM211"	"protein_coding"
"11715197_s_at"	"PYGO1"	"protein_coding"
"11715202_s_at"	"TCEAL1"	"protein_coding"
"11715203_s_at"	NA	NA
"11715204_x_at"	"HIST2H2AC"	"protein_coding"
"11715205_x_at"	"PSG4"	"protein_coding"
"11715206_x_at"	"PSG4"	"protein_coding"
"11715207_at"	NA	NA
"11715208_s_at"	"CLCN6"	"protein_coding"
"11715209_s_at"	"SCAND1"	"protein_coding"
"11715210_s_at"	"PNMAL1"	"protein_coding"
"11715211_s_at"	"ZNF680"	"protein_coding"
"11715212_x_at"	"SCAND1"	"protein_coding"
"11715214_at"	"MARK4"	"protein_coding"
"11715215_s_at"	"GRK7"	"protein_coding"
"11715216_s_at"	"UGT2B28"	"protein_coding"
"11715217_s_at"	"MOGAT2"	"protein_coding"
"11715218_s_at"	"FAM127A"	"protein_coding"
"11715219_s_at"	"HIST1H2AI"	"protein_coding"
"11715220_s_at"	NA	NA
"11715221_x_at"	"NSUN5"	"protein_coding"
"11715222_at"	"MAGI3"	"protein_coding"
"11715223_s_at"	NA	NA
"11715224_s_at"	"ACOXL"	"protein_coding"
"11715225_s_at"	"VPS54"	"protein_coding"
"11715226_s_at"	NA	NA
"11715227_s_at"	NA	NA
"11715228_s_at"	"SLC51B"	"protein_coding"
"11715229_s_at"	"GRIP2"	"protein_coding"
"11715230_s_at"	"PARD6A"	"protein_coding"
"11715231_x_at"	"RPL36"	"protein_coding"
"11715232_x_at"	"RPL36"	"protein_coding"
"11715233_s_at"	"SPATC1L"	"protein_coding"
"11715234_s_at"	NA	NA
"11715235_x_at"	"UQCRHL"	"protein_coding"
"11715236_s_at"	NA	NA
"11715238_x_at"	"RPL9"	"protein_coding"
"11715239_x_at"	NA	NA
"11715240_at"	"ZNF184"	"protein_coding"
"11715241_s_at"	"LCE1D"	"protein_coding"
"11715242_s_at"	"LCE3D"	"protein_coding"
"11715243_x_at"	"LCE1F"	"protein_coding"
"11715244_x_at"	"LCE1A"	"protein_coding"
"11715245_s_at"	NA	NA
"11715246_x_at"	"ADGRB1"	"protein_coding"
"11715247_s_at"	"DEPDC5"	"protein_coding"
"11715248_s_at"	"CRISP2"	"protein_coding"
"11715249_s_at"	NA	NA
"11715250_s_at"	"KIAA0825"	"protein_coding"
"11715251_at"	"CHST7"	"protein_coding"
"11715252_at"	"RSRC1"	"protein_coding"
"11715254_s_at"	"DEFB134"	"protein_coding"
"11715255_s_at"	NA	NA
"11715256_at"	"XAGE3"	"protein_coding"
"11715257_x_at"	"XAGE3"	"protein_coding"
"11715258_s_at"	"PTMS"	"protein_coding"
"11715259_s_at"	"IFNA5"	"protein_coding"
"11715260_at"	"RRNAD1"	"protein_coding"
"11715262_at"	NA	NA
"11715263_at"	NA	NA
"11715264_s_at"	"UTS2R"	"protein_coding"
"11715265_at"	"FIG4"	"protein_coding"
"11715266_s_at"	NA	NA
"11715267_s_at"	"EPPK1"	"protein_coding"
"11715268_s_at"	NA	NA
"11715270_s_at"	"KLF7"	"protein_coding"
"11715272_s_at"	NA	NA
"11715273_at"	"TPM2"	"protein_coding"
"11715274_x_at"	"TPM2"	"protein_coding"
"11715275_s_at"	"SSX1"	"protein_coding"
"11715276_s_at"	"AURKAIP1"	"protein_coding"
"11715277_s_at"	"AURKAIP1"	"protein_coding"
"11715278_s_at"	"AURKAIP1"	"protein_coding"
"11715279_x_at"	"ATP7A"	"protein_coding"
"11715280_s_at"	"KRT17"	"protein_coding"
"11715281_at"	NA	NA
"11715283_at"	"CCKAR"	"protein_coding"
"11715284_x_at"	NA	NA
"11715286_x_at"	NA	NA
"11715288_s_at"	"CASP14"	"protein_coding"
"11715289_s_at"	NA	NA
"11715290_s_at"	"CLDN3"	"protein_coding"
"11715291_s_at"	"TBX5"	"protein_coding"
"11715292_at"	"ST8SIA1"	"protein_coding"
"11715293_s_at"	NA	NA
"11715294_s_at"	"HECTD2"	"protein_coding"
"11715295_s_at"	NA	NA
"11715296_s_at"	"KRT33A"	"protein_coding"
"11715297_at"	"FXN"	"protein_coding"
"11715298_x_at"	"SH2D2A"	"protein_coding"
"11715299_s_at"	"PRAMEF8"	"protein_coding"
"11715300_s_at"	"SSX3"	"protein_coding"
"11715301_s_at"	NA	NA
"11715302_s_at"	"NT5C1A"	"protein_coding"
"11715303_s_at"	NA	NA
"11715304_s_at"	"PLCB3"	"protein_coding"
"11715305_s_at"	NA	NA
"11715306_s_at"	"AREG"	"protein_coding"
"11715307_s_at"	"MLXIPL"	"protein_coding"
"11715308_s_at"	"MLXIPL"	"protein_coding"
"11715309_s_at"	"MLXIPL"	"protein_coding"
"11715310_s_at"	"MLXIPL"	"protein_coding"
"11715312_at"	"FOXC2"	"protein_coding"
"11715313_s_at"	"LHB"	"protein_coding"
"11715314_at"	NA	NA
"11715316_x_at"	"HLA-C"	"protein_coding"
"11715318_s_at"	NA	NA
"11715319_s_at"	"MAGEA1"	"protein_coding"
"11715320_s_at"	NA	NA
"11715321_x_at"	NA	NA
"11715322_s_at"	NA	NA
"11715323_s_at"	NA	NA
"11715325_at"	"VSTM5"	"protein_coding"
"11715326_s_at"	NA	NA
"11715328_at"	NA	NA
"11715329_at"	"SLC6A15"	"protein_coding"
"11715330_x_at"	"ZNF735"	"protein_coding"
"11715331_x_at"	"DSN1"	"protein_coding"
"11715332_at"	"NXNL2"	"protein_coding"
"11715333_s_at"	"NXNL2"	"protein_coding"
"11715334_s_at"	"NXNL2"	"protein_coding"
"11715335_at"	"OR6P1"	"protein_coding"
"11715336_x_at"	NA	NA
"11715338_s_at"	"DCAF12L2"	"protein_coding"
"11715339_at"	NA	NA
"11715341_at"	"MROH9"	"protein_coding"
"11715342_at"	NA	NA
"11715343_at"	"MUC16"	"protein_coding"
"11715344_at"	"GSTP1"	"protein_coding"
"11715345_s_at"	"ADAMTS15"	"protein_coding"
"11715346_at"	"EBI3"	"protein_coding"
"11715347_s_at"	"HBB"	"protein_coding"
"11715348_x_at"	"HBB"	"protein_coding"
"11715349_a_at"	"COX7C"	"protein_coding"
"11715350_a_at"	"COL1A1"	"protein_coding"
"11715351_at"	"COL1A1"	"protein_coding"
"11715352_x_at"	"COL1A1"	"protein_coding"
"11715353_s_at"	"COL1A2"	"protein_coding"
"11715354_a_at"	"COL1A2"	"protein_coding"
"11715355_at"	"COL1A2"	"protein_coding"
"11715356_x_at"	"COL1A2"	"protein_coding"
"11715357_s_at"	"RPS21"	"protein_coding"
"11715358_x_at"	"CST3"	"protein_coding"
"11715359_a_at"	NA	NA
"11715360_x_at"	NA	NA
"11715361_a_at"	"ATP6V0E1"	"protein_coding"
"11715362_at"	NA	NA
"11715363_a_at"	"A2M"	"protein_coding"
"11715364_a_at"	"SPDEF"	"protein_coding"
"11715365_x_at"	"SPDEF"	"protein_coding"
"11715366_a_at"	NA	NA
"11715367_s_at"	"SEPT2"	"protein_coding"
"11715368_a_at"	"SERPING1"	"protein_coding"
"11715369_s_at"	"NDUFA4"	"protein_coding"
"11715370_s_at"	"LGALS3BP"	"protein_coding"
"11715371_a_at"	"UBA1"	"protein_coding"
"11715372_a_at"	NA	NA
"11715373_a_at"	NA	NA
"11715374_a_at"	NA	NA
"11715375_x_at"	NA	NA
"11715377_x_at"	"COX4I1"	"protein_coding"
"11715378_x_at"	"TG"	"protein_coding"
"11715379_a_at"	"LAPTM4B"	"protein_coding"
"11715380_s_at"	"LAPTM4B"	"protein_coding"
"11715381_a_at"	"LAPTM4B"	"protein_coding"
"11715382_x_at"	"PLD3"	"protein_coding"
"11715383_a_at"	"PHB2"	"protein_coding"
"11715384_x_at"	"PHB2"	"protein_coding"
"11715385_s_at"	"TOMM7"	"protein_coding"
"11715386_at"	"REG1A"	"protein_coding"
"11715387_at"	"CDKN1A"	"protein_coding"
"11715388_s_at"	"CDKN1A"	"protein_coding"
"11715389_x_at"	NA	NA
"11715390_s_at"	NA	NA
"11715391_s_at"	"MTCH1"	"protein_coding"
"11715392_x_at"	"MTCH1"	"protein_coding"
"11715393_a_at"	"C3"	"protein_coding"
"11715394_s_at"	"CD81"	"protein_coding"
"11715395_a_at"	NA	NA
"11715396_s_at"	NA	NA
"11715397_x_at"	"MAGED2"	"protein_coding"
"11715398_a_at"	"APEX1"	"protein_coding"
"11715399_at"	"SLC25A5"	"protein_coding"
"11715400_x_at"	"SLC25A5"	"protein_coding"
"11715401_s_at"	"ILF2"	"protein_coding"
"11715402_x_at"	"ILF2"	"protein_coding"
"11715403_a_at"	"COL6A1"	"protein_coding"
"11715404_a_at"	"COL6A1"	"protein_coding"
"11715405_x_at"	"COL6A1"	"protein_coding"
"11715406_a_at"	"COL6A1"	"protein_coding"
"11715407_s_at"	"PSMB4"	"protein_coding"
"11715408_x_at"	"PSMB4"	"protein_coding"
"11715409_a_at"	NA	NA
"11715410_x_at"	NA	NA
"11715411_a_at"	"EPAS1"	"protein_coding"
"11715412_a_at"	"EPAS1"	"protein_coding"
"11715413_s_at"	"TSC22D1"	"protein_coding"
"11715414_x_at"	"COL3A1"	"protein_coding"
"11715415_a_at"	"COL3A1"	"protein_coding"
"11715416_s_at"	"DDB1"	"protein_coding"
"11715417_s_at"	NA	"processed_pseudogene"
"11715419_at"	"LY6E"	"protein_coding"
"11715420_a_at"	"CCT2"	"protein_coding"
"11715421_a_at"	"CCT2"	"protein_coding"
"11715422_a_at"	"BCAP31"	"protein_coding"
"11715423_s_at"	"BCAP31"	"protein_coding"
"11715424_x_at"	"BCAP31"	"protein_coding"
"11715425_x_at"	"FLNA"	"protein_coding"
"11715426_s_at"	"SNU13"	"protein_coding"
"11715427_at"	"SNU13"	"protein_coding"
"11715428_x_at"	"ARF4"	"protein_coding"
"11715429_s_at"	"ARF4"	"protein_coding"
"11715430_a_at"	"AKR1B1"	"protein_coding"
"11715431_a_at"	NA	NA
"11715432_a_at"	NA	NA
"11715433_a_at"	"RBBP7"	"protein_coding"
"11715434_a_at"	"PDIA6"	"protein_coding"
"11715435_s_at"	NA	NA
"11715436_at"	NA	NA
"11715437_at"	NA	NA
"11715438_at"	"DAP"	"protein_coding"
"11715439_at"	"DAP"	"protein_coding"
"11715440_a_at"	"CTGF"	"protein_coding"
"11715441_a_at"	"CTGF"	"protein_coding"
"11715442_s_at"	"CTGF"	"protein_coding"
"11715443_a_at"	NA	NA
"11715444_at"	"CPB1"	"protein_coding"
"11715445_a_at"	"DNAJB1"	"protein_coding"
"11715446_a_at"	"DNAJB1"	"protein_coding"
"11715447_at"	"TALDO1"	"protein_coding"
"11715448_at"	"ERGIC3"	"protein_coding"
"11715449_x_at"	"ERGIC3"	"protein_coding"
"11715450_at"	NA	NA
"11715451_a_at"	"COL4A2"	"protein_coding"
"11715452_s_at"	"COL4A2"	"protein_coding"
"11715453_a_at"	"COL4A2"	"protein_coding"
"11715454_at"	"KISS1"	"protein_coding"
"11715455_x_at"	"KISS1"	"protein_coding"
"11715456_a_at"	"SSR2"	"protein_coding"
"11715457_x_at"	"SSR2"	"protein_coding"
"11715458_a_at"	NA	NA
"11715459_x_at"	NA	NA
"11715460_a_at"	"DHCR24"	"protein_coding"
"11715461_at"	"LYZ"	"protein_coding"
"11715462_x_at"	NA	NA
"11715463_s_at"	"IGFBP4"	"protein_coding"
"11715464_x_at"	"IGFBP4"	"protein_coding"
"11715465_at"	"IGFBP4"	"protein_coding"
"11715466_at"	"ARHGDIB"	"protein_coding"
"11715467_s_at"	"ARHGDIB"	"protein_coding"
"11715469_s_at"	"TXN"	"protein_coding"
"11715470_x_at"	"TXN"	"protein_coding"
"11715471_a_at"	"SRPRA"	"protein_coding"
"11715472_a_at"	"SRPRA"	"protein_coding"
"11715473_at"	"SRPRA"	"protein_coding"
"11715474_at"	"DDX17"	"protein_coding"
"11715475_a_at"	"DDX17"	"protein_coding"
"11715476_s_at"	"DDX17"	"protein_coding"
"11715477_at"	"TFRC"	"protein_coding"
"11715478_a_at"	"TFRC"	"protein_coding"
"11715479_a_at"	NA	NA
"11715480_x_at"	NA	NA
"11715481_a_at"	"SST"	"protein_coding"
"11715482_a_at"	"MCL1"	"protein_coding"
"11715483_s_at"	"MCL1"	"protein_coding"
"11715484_a_at"	"MCL1"	"protein_coding"
"11715485_a_at"	"MCL1"	"protein_coding"
"11715486_x_at"	"MCL1"	"protein_coding"
"11715487_a_at"	"MCL1"	"protein_coding"
"11715488_s_at"	"PGRMC1"	"protein_coding"
"11715489_a_at"	"PGRMC1"	"protein_coding"
"11715491_s_at"	"FSCN1"	"protein_coding"
"11715493_a_at"	"CYR61"	"protein_coding"
"11715494_s_at"	NA	NA
"11715495_a_at"	"RPS25"	"protein_coding"
"11715496_a_at"	"CTSK"	"protein_coding"
"11715497_a_at"	"OXA1L"	"protein_coding"
"11715498_a_at"	"OXA1L"	"protein_coding"
"11715499_x_at"	"CBX3"	"protein_coding"
"11715500_s_at"	NA	NA
"11715501_s_at"	"IGFBP7"	"protein_coding"
"11715502_x_at"	NA	NA
"11715503_a_at"	NA	NA
"11715504_a_at"	NA	NA
"11715505_a_at"	"IARS"	"protein_coding"
"11715506_a_at"	"MAGED1"	"protein_coding"
"11715507_s_at"	"MAGED1"	"protein_coding"
"11715508_x_at"	"MFGE8"	"protein_coding"
"11715509_a_at"	"NDFIP1"	"protein_coding"
"11715510_s_at"	"NDFIP1"	"protein_coding"
"11715511_x_at"	"NDFIP1"	"protein_coding"
"11715512_s_at"	"NDFIP1"	"protein_coding"
"11715513_s_at"	"NDFIP1"	"protein_coding"
"11715514_a_at"	"HERPUD1"	"protein_coding"
"11715515_a_at"	"PSMD3"	"protein_coding"
"11715516_x_at"	"PSMD3"	"protein_coding"
"11715517_s_at"	"SLC25A39"	"protein_coding"
"11715518_a_at"	"MLEC"	"protein_coding"
"11715519_a_at"	"MLEC"	"protein_coding"
"11715520_at"	"MLEC"	"protein_coding"
"11715521_a_at"	"MLEC"	"protein_coding"
"11715522_a_at"	"HADHA"	"protein_coding"
"11715523_a_at"	"HADHA"	"protein_coding"
"11715524_a_at"	"COTL1"	"protein_coding"
"11715525_a_at"	NA	NA
"11715526_s_at"	NA	NA
"11715527_x_at"	NA	NA
"11715528_a_at"	NA	NA
"11715529_x_at"	NA	NA
"11715530_a_at"	"CCT6A"	"protein_coding"
"11715531_at"	"PRPF8"	"protein_coding"
"11715532_a_at"	NA	NA
"11715533_a_at"	"LRP1"	"protein_coding"
"11715534_a_at"	"LRP1"	"protein_coding"
"11715535_a_at"	"GPS1"	"protein_coding"
"11715536_a_at"	"IDH2"	"protein_coding"
"11715537_x_at"	"IDH2"	"protein_coding"
"11715541_a_at"	NA	NA
"11715542_s_at"	NA	NA
"11715544_a_at"	NA	NA
"11715545_at"	NA	NA
"11715546_s_at"	"CBX1"	"protein_coding"
"11715547_at"	NA	NA
"11715548_a_at"	"DAG1"	"protein_coding"
"11715549_at"	"DAG1"	"protein_coding"
"11715550_at"	"DAG1"	"protein_coding"
"11715551_s_at"	NA	NA
"11715552_a_at"	"IMMT"	"protein_coding"
"11715553_s_at"	"IMMT"	"protein_coding"
"11715554_a_at"	"CYB5R3"	"protein_coding"
"11715555_a_at"	"CYB5R3"	"protein_coding"
"11715556_a_at"	"QSOX1"	"protein_coding"
"11715557_at"	"QSOX1"	"protein_coding"
"11715558_a_at"	"TMEM59"	"protein_coding"
"11715559_x_at"	"YWHAQ"	"protein_coding"
"11715561_s_at"	"SCD"	"protein_coding"
"11715562_x_at"	"SCD"	"protein_coding"
"11715563_s_at"	"SCD"	"protein_coding"
"11715564_s_at"	"H1FX"	"protein_coding"
"11715565_at"	"PSMD2"	"protein_coding"
"11715566_at"	"COPZ1"	"protein_coding"
"11715567_at"	"COPZ1"	"protein_coding"
"11715568_a_at"	"CD9"	"protein_coding"
"11715569_at"	"CD9"	"protein_coding"
"11715570_x_at"	"CD9"	"protein_coding"
"11715571_a_at"	"CLSTN1"	"protein_coding"
"11715572_a_at"	"CLSTN1"	"protein_coding"
"11715573_s_at"	NA	NA
"11715574_a_at"	NA	NA
"11715575_x_at"	"PPM1G"	"protein_coding"
"11715576_at"	"RAC1"	"protein_coding"
"11715578_s_at"	"RAC1"	"protein_coding"
"11715579_a_at"	NA	NA
"11715580_a_at"	"TBCB"	"protein_coding"
"11715581_a_at"	NA	NA
"11715582_s_at"	NA	NA
"11715583_s_at"	"HLA-DPA1"	"protein_coding"
"11715584_a_at"	"CAV1"	"protein_coding"
"11715585_a_at"	"PMP22"	"protein_coding"
"11715586_at"	NA	NA
"11715587_at"	NA	NA
"11715588_x_at"	NA	NA
"11715589_at"	"DYNC1H1"	"protein_coding"
"11715590_at"	NA	NA
"11715591_s_at"	NA	NA
"11715592_x_at"	NA	NA
"11715593_s_at"	"YWHAH"	"protein_coding"
"11715594_a_at"	"RBM38"	"protein_coding"
"11715595_a_at"	"PSMB7"	"protein_coding"
"11715596_at"	"PSMB7"	"protein_coding"
"11715597_x_at"	"PSMB7"	"protein_coding"
"11715598_at"	"TFG"	"protein_coding"
"11715599_a_at"	"ANAPC5"	"protein_coding"
"11715600_a_at"	"PPP1R11"	"protein_coding"
"11715601_a_at"	"PPP1R11"	"protein_coding"
"11715602_s_at"	"SPARC"	"protein_coding"
"11715603_s_at"	"SPARC"	"protein_coding"
"11715604_x_at"	"SPARC"	"protein_coding"
"11715605_s_at"	"SF3B5"	"protein_coding"
"11715606_a_at"	"TSC22D1"	"protein_coding"
"11715607_at"	NA	NA
"11715608_x_at"	NA	NA
"11715609_a_at"	"ATP6V1H"	"protein_coding"
"11715610_a_at"	"ARPC1A"	"protein_coding"
"11715611_a_at"	"PLOD1"	"protein_coding"
"11715612_s_at"	NA	NA
"11715613_a_at"	"BTG2"	"protein_coding"
"11715614_at"	"BTG2"	"protein_coding"
"11715615_at"	"BTG2"	"protein_coding"
"11715616_a_at"	"NDUFAB1"	"protein_coding"
"11715617_a_at"	"RNF130"	"protein_coding"
"11715618_a_at"	"SDF4"	"protein_coding"
"11715619_x_at"	"SDF4"	"protein_coding"
"11715620_a_at"	"CRYAB"	"protein_coding"
"11715621_at"	NA	NA
"11715622_a_at"	"RNF114"	"protein_coding"
"11715623_s_at"	"RNF114"	"protein_coding"
"11715624_at"	"SH3BGRL"	"protein_coding"
"11715625_a_at"	"SH3BGRL"	"protein_coding"
"11715626_a_at"	"RPL11"	"protein_coding"
"11715627_x_at"	"ALDH2"	"protein_coding"
"11715628_a_at"	"FGB"	"protein_coding"
"11715629_a_at"	"LAPTM4A"	"protein_coding"
"11715630_s_at"	"LAPTM4A"	"protein_coding"
"11715631_x_at"	"LAPTM4A"	"protein_coding"
"11715632_at"	NA	NA
"11715633_x_at"	NA	NA
"11715634_s_at"	"TMEM14C"	"protein_coding"
"11715635_x_at"	"TMEM14C"	"protein_coding"
"11715636_a_at"	"SERPINE1"	"protein_coding"
"11715637_a_at"	"UGP2"	"protein_coding"
"11715638_s_at"	"LPCAT1"	"protein_coding"
"11715640_a_at"	"TTC3"	"protein_coding"
"11715641_a_at"	"TTC3"	"protein_coding"
"11715642_s_at"	"TTC3"	"protein_coding"
"11715643_a_at"	"ATP6AP2"	"protein_coding"
"11715644_s_at"	"ATP6AP2"	"protein_coding"
"11715645_s_at"	"RTCB"	"protein_coding"
"11715646_a_at"	"ADIPOR1"	"protein_coding"
"11715647_a_at"	"ADIPOR1"	"protein_coding"
"11715648_x_at"	"ADIPOR1"	"protein_coding"
"11715649_s_at"	"TXNRD1"	"protein_coding"
"11715650_a_at"	"TXNRD1"	"protein_coding"
"11715651_s_at"	NA	NA
"11715652_a_at"	"PCOLCE"	"protein_coding"
"11715653_a_at"	NA	NA
"11715654_x_at"	NA	NA
"11715657_a_at"	"GLB1"	"protein_coding"
"11715658_a_at"	"SLC39A1"	"protein_coding"
"11715659_s_at"	"ERRFI1"	"protein_coding"
"11715660_a_at"	"RPN2"	"protein_coding"
"11715661_a_at"	NA	NA
"11715662_x_at"	NA	NA
"11715663_a_at"	"STARD7"	"protein_coding"
"11715664_a_at"	"STARD7"	"protein_coding"
"11715665_a_at"	"PSMB8"	"protein_coding"
"11715666_a_at"	"TPM3"	"protein_coding"
"11715667_s_at"	"TPM3"	"protein_coding"
"11715668_a_at"	"PSMA5"	"protein_coding"
"11715669_s_at"	NA	NA
"11715670_a_at"	NA	NA
"11715671_x_at"	NA	NA
"11715672_a_at"	NA	NA
"11715673_x_at"	NA	NA
"11715674_s_at"	"CCNG1"	"protein_coding"
"11715675_a_at"	"CCNG1"	"protein_coding"
"11715676_s_at"	"NCSTN"	"protein_coding"
"11715677_x_at"	"NCSTN"	"protein_coding"
"11715678_s_at"	"NAP1L4"	"protein_coding"
"11715679_s_at"	"PRNP"	"protein_coding"
"11715680_s_at"	NA	NA
"11715681_s_at"	"CREG1"	"protein_coding"
"11715682_a_at"	"CREG1"	"protein_coding"
"11715683_a_at"	NA	NA
"11715684_a_at"	"PPA1"	"protein_coding"
"11715685_s_at"	"ARPC5"	"protein_coding"
"11715686_s_at"	"ARPC5"	"protein_coding"
"11715687_x_at"	"ARPC5"	"protein_coding"
"11715688_x_at"	"CTRB2"	"protein_coding"
"11715689_a_at"	"CD164"	"protein_coding"
"11715690_x_at"	"CD164"	"protein_coding"
"11715691_s_at"	"ZFP36"	"protein_coding"
"11715692_a_at"	"CIRBP"	"protein_coding"
"11715693_s_at"	"CIRBP"	"protein_coding"
"11715694_at"	"COX7B"	"protein_coding"
"11715695_x_at"	"COX7B"	"protein_coding"
"11715696_a_at"	"NOLC1"	"protein_coding"
"11715697_a_at"	"NOLC1"	"protein_coding"
"11715698_a_at"	"NOLC1"	"protein_coding"
"11715699_s_at"	"SEC16A"	"protein_coding"
"11715700_s_at"	NA	NA
"11715701_s_at"	NA	NA
"11715702_at"	NA	NA
"11715703_s_at"	NA	NA
"11715704_x_at"	NA	NA
"11715705_a_at"	"MGEA5"	"protein_coding"
"11715706_x_at"	"MGEA5"	"protein_coding"
"11715707_a_at"	"MGEA5"	"protein_coding"
"11715708_s_at"	"MB"	"protein_coding"
"11715709_x_at"	"MB"	"protein_coding"
"11715710_s_at"	"CTSC"	"protein_coding"
"11715711_a_at"	"AKR1C3"	"protein_coding"
"11715712_a_at"	NA	NA
"11715713_a_at"	"VOPP1"	"protein_coding"
"11715715_x_at"	"VOPP1"	"protein_coding"
"11715716_at"	"MSN"	"protein_coding"
"11715717_s_at"	"MSN"	"protein_coding"
"11715718_a_at"	"ZNHIT1"	"protein_coding"
"11715719_x_at"	"CDC37"	"protein_coding"
"11715720_s_at"	"C1orf43"	"protein_coding"
"11715721_a_at"	"GOLM1"	"protein_coding"
"11715722_a_at"	"GOLM1"	"protein_coding"
"11715723_s_at"	"ITM2B"	"protein_coding"
"11715724_s_at"	"ITM2B"	"protein_coding"
"11715725_x_at"	"ITM2B"	"protein_coding"
"11715726_a_at"	"OAZ2"	"protein_coding"
"11715727_s_at"	"OAZ2"	"protein_coding"
"11715728_a_at"	"ITGB1"	"protein_coding"
"11715729_s_at"	NA	NA
"11715730_at"	NA	NA
"11715731_at"	NA	NA
"11715732_at"	NA	NA
"11715733_a_at"	NA	NA
"11715734_a_at"	"NIPSNAP1"	"protein_coding"
"11715735_a_at"	"TMEM123"	"protein_coding"
"11715736_s_at"	"CASC3"	"protein_coding"
"11715737_at"	"CASC3"	"protein_coding"
"11715738_s_at"	"SNX3"	"protein_coding"
"11715739_s_at"	"PLPP3"	"protein_coding"
"11715740_a_at"	"RCC2"	"protein_coding"
"11715741_at"	"RCC2"	"protein_coding"
